StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CANCER_CrudePrev
VA,Lynchburg,5147672,75568,14.7,33.9,6.2,9.6,5.9
VA,Newport News,5156000,180719,15.3,36,6,9.7,5.5
VA,Norfolk,5157000,242803,15.4,35.5,5.8,9.6,4.7
VA,Portsmouth,5164000,95535,16.2,37.4,5.9,10.2,6.1
VA,Richmond,5167000,204214,16.7,36.8,5.7,10,5
VA,Roanoke,5168000,97032,16.5,34.1,6.1,9.9,6.7
VA,Suffolk,5176432,84585,14,35.7,6,9.5,6.1
VA,Virginia Beach,5182000,437994,12,30.3,6.1,8.4,5.7
WA,Auburn,5303180,70180,12.4,28.6,6.3,10,5.9
WA,Bellevue,5305210,122363,7.2,23.5,6.1,7.9,6.4
WA,Bellingham,5305280,80885,9.9,26.2,6.4,10.1,5.8
WA,Everett,5322640,103019,12.4,30.2,6.1,10.1,5.6
WA,Federal Way,5323515,89306,12.8,28.5,6.1,9.7,5.8
WA,Kennewick,5335275,73917,14.6,29.8,6.3,10.6,6.1
WA,Kent,5335415,92411,13.9,29.2,6.1,9.9,5.3
WA,Renton,5357745,90927,10.9,27.3,6,9.1,5.5
WA,Seattle,5363000,608660,8,25.6,6.2,8.9,5.5
WA,Spokane,5367000,208916,10.7,29.3,6.6,11,6.7
WA,Spokane Valley,5367167,89755,9.9,28.4,6.7,10.7,7.2
WA,Tacoma,5370000,198397,12.1,32.8,6.4,10.5,6.1
WA,Vancouver,5374060,161791,11,28.5,6.3,10.2,6.4
WA,Yakima,5380010,91067,20.8,29.5,6,10.6,6.3
WV,Charleston,5414600,51400,9.3,35.8,6.3,10.9,7.3
WI,Appleton,5502375,72623,10.4,27,6.4,8.9,6.3
WI,Green Bay,5531000,104057,13.7,30.7,6.3,9.5,6
WI,Kenosha,5539225,99218,14,29.7,6.2,9.5,5.9
WI,Madison,5548000,233209,9.4,25.3,6.3,8.6,5.1
WI,Milwaukee,5553000,594833,17.8,37.5,5.8,11,5
WI,Racine,5566000,78860,16.7,33.3,6,10.1,5.9
WI,Waukesha,5584250,70718,10.7,27.2,6.3,8.6,5.9
WY,Cheyenne,5613900,59466,15.3,28.5,6.2,8.6,6.5
