StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CANCER_CrudePrev
FL,Gainesville,1225175,124354,19.9,30.9,6.3,8.4,4
FL,Hialeah,1230000,224669,43.7,29.9,4.7,7,5.6
FL,Hollywood,1232000,140768,25.3,29.8,5.9,7.7,6.6
FL,Jacksonville,1235000,821784,20.6,33.7,6.1,8.2,5.9
FL,Lakeland,1238250,97422,22.7,32.2,6.3,8.7,7.9
FL,Largo,1239425,77648,20.9,28.4,6.3,8.1,9
FL,Lauderhill,1239550,66887,27,39.3,5.6,9.9,5.8
FL,Melbourne,1243975,76068,19.5,28.6,6.4,8.3,7.9
FL,Miami,1245000,399457,36.3,31.1,4.9,7.4,5.3
FL,Miami Beach,1245025,87779,24,26.1,5.4,6.5,5.7
FL,Miami Gardens,1245060,107167,29.6,38.1,5.2,9.3,5
FL,Miramar,1245975,122041,23.1,31.3,5.3,7.6,4.4
FL,Orlando,1253000,238300,23.1,32.8,5.7,8.2,4.8
FL,Palm Bay,1254000,103190,21.7,30.3,6.2,8.6,7
FL,Palm Coast,1254200,75180,19.7,29.8,6.4,8,8.7
FL,Pembroke Pines,1255775,154750,22,27.9,5.6,7.1,6.3
FL,Plantation,1257425,84955,18.1,27.6,6.1,7.4,6.5
FL,Pompano Beach,1258050,99845,26.4,32.9,6,8.4,7.4
FL,Port St. Lucie,1258715,164603,22.1,28.9,6,8.2,6.9
FL,St. Petersburg,1263000,244769,19.1,29.7,6.2,8.1,7
FL,Sunrise,1269700,84439,23.3,31.1,5.8,8,6.5
FL,Tallahassee,1270600,181376,18.2,30.3,6.2,8.1,4.3
FL,Tampa,1271000,335709,23.1,32,6,8.3,5.6
FL,West Palm Beach,1276600,99919,24,30.3,6.2,8,6.7
GA,Albany,1301052,77434,24.2,44.4,5.8,10.9,5.5
GA,Athens,1303440,115452,20,38,6,9.3,4.1
GA,Atlanta,1304000,420003,17.4,37.6,5.7,9,4.8
GA,Augusta,1304204,195844,21.5,40.4,5.8,10.1,5.5
