StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CSMOKING_AdjPrev,DIABETES_AdjPrev,STROKE_AdjPrev
NJ,Clifton,3413690,84136,15,29.1,5.7,8.1,15.7,8.5,2.6
NJ,Elizabeth,3421000,124969,25.9,34.5,5.2,8.8,14,8.3,2.4
NJ,Jersey City,3436000,247597,15.3,32.5,5.2,8.4,20.3,11.2,3.5
NJ,Newark,3451000,277140,23.4,38.6,5,10.7,24.4,13.9,4.4
NJ,Passaic,3456550,69781,31.3,35.9,4.9,9.1,17.9,12.1,3.7
NJ,Paterson,3457000,146199,28,38.2,5,9.8,14.6,9.1,2.7
NJ,Trenton,3474000,84913,25,38.7,5.4,10.7,16.2,11.6,3.2
NJ,Union City,3474630,66455,28.8,32.5,4.8,8.3,24,13.7,4.6
NM,Albuquerque,3502000,545852,12.4,26.4,5.8,10.3,24,11.5,3.6
NM,Las Cruces,3539380,97618,13.9,28.3,5.6,10.3,24.6,13.8,4.3
NM,Rio Rancho,3563460,87521,9.7,25.1,5.8,9.7,16.3,10.1,2.9
NM,Santa Fe,3570500,67947,11.9,22.9,5.6,9.3,17.1,8.9,2.9
NV,Henderson,3231900,257729,12.6,24,6,8.2,11.6,7,2
NV,Las Vegas,3240000,583756,19.6,27.1,5.8,8.7,16.4,10.2,3.2
NV,North Las Vegas,3251800,216961,22,29.1,5.5,9.1,19.3,10,3.2
NV,Reno,3260600,225221,16.5,27.7,6,8.8,16.3,11,3.5
NV,Sparks,3268400,90264,16.7,27.5,6,8.8,18.8,12.4,3.7
NY,Albany,3601000,97856,11.1,33.5,6.2,11.9,21.8,11.7,3.9
NY,Buffalo,3611000,261310,13.7,37.4,6.1,12.6,19.8,11.2,3.6
NY,Mount Vernon,3649121,67292,13.2,33.9,5.5,12.4,20.6,12.4,4
NY,New Rochelle,3650617,77062,12.8,26.8,5.8,10.5,21.8,11.8,3.9
NY,New York,3651000,8175133,14.7,29,5.4,10.5,20.6,11,3.4
NY,Rochester,3663000,210565,15.4,34.9,6.1,12.5,15.1,9.4,2.9
NY,Schenectady,3665508,66135,13.1,32.4,6.3,12.3,19.8,10.1,3.3
NY,Syracuse,3673000,145170,13.8,32.3,6,12.7,20.3,11.8,3.9
NY,Yonkers,3684000,195976,15,28,5.7,10.7,16.8,7.9,2.6
OH,Akron,3901000,199110,12.5,36.3,6,11,26.7,12.5,4.1
OH,Canton,3912000,73007,13.4,35.9,6.3,11.3,28.4,13.7,4.4
OH,Cincinnati,3915000,296943,12.2,36.5,6,10.8,22.7,13.9,4.3
OH,Cleveland,3916000,396815,16.8,40.3,5.6,11.7,29.5,15.8,5.4
OH,Columbus,3918000,787033,10.8,33.9,6.2,10,22.2,11.4,3.7
OH,Dayton,3921000,141527,14.2,41.7,6,11.5,28.5,15.5,5.1
OH,Parma,3961000,81601,9.4,28.7,6.4,9.4,23.7,8.4,2.7
OH,Toledo,3977000,287208,13.4,36,6.1,11.1,26.7,12.9,4.1
OH,Youngstown,3988000,66982,17.5,40.8,5.8,11.3,30.9,16.7,5.4
OK,Broken Arrow,4009050,98850,12.6,31.1,6.4,9.3,16.6,8.4,2.6
OK,Edmond,4023200,81405,11.1,27.4,6.2,9.1,14.2,7.5,2.4
OK,Lawton,4041850,96867,18.2,37.1,6,10.1,22.3,12,3.7
OK,Norman,4052500,110925,13.3,33.5,6.3,9.6,16.8,9.5,2.9
OK,Oklahoma City,4055000,579999,18.9,33,5.9,10.1,18.8,10.9,3.5
OK,Tulsa,4075000,391906,18.1,35.2,6.2,10.3,19.5,10.9,3.6
OR,Beaverton,4105350,89803,10.7,25.8,6.2,9.6,14.3,7.8,2.5
OR,Bend,4105800,76639,8.9,24,6.5,9.7,15.1,7.4,2.6
OR,Eugene,4123850,156185,10.5,25.3,6.7,10.2,17.5,8.3,2.9
OR,Gresham,4131250,105594,14,27.7,6.4,10.2,20.2,9.3,3.2
OR,Hillsboro,4134100,91611,12.2,25.9,6.2,9.7,15.2,8,2.6
OR,Medford,4147000,74907,13.7,27.6,6.4,11.1,22.2,9.3,3.3
OR,Portland,4159000,583776,9.8,25.9,6.3,9.5,16,8.3,2.7
OR,Salem,4164900,154637,13.9,29.2,6.5,10.4,18.7,9,3.1
PA,Allentown,4202000,118032,18.9,34.8,5.8,10.7,21.9,13.3,3.9
PA,Bethlehem,4206088,74982,12.6,30.2,6.2,10.1,19.3,9.9,2.9
PA,Erie,4224000,101786,12.3,32,6.3,11.2,24.5,11.6,4
PA,Philadelphia,4260000,1526006,13.9,34.2,5.7,11.6,22.8,12.7,4.1
PA,Pittsburgh,4261000,305704,9.2,32.8,6.1,10.6,20.9,10.4,3.4
PA,Reading,4263624,88082,25.1,36.7,5.6,11.7,24.4,16.3,4.9
PA,Scranton,4269000,76089,11.8,31.5,6.3,10.7,22.7,10.5,3.5
RI,Cranston,4419180,80387,9.4,29.2,6.5,11.3,17.2,8.5,2.5
RI,Pawtucket,4454640,71148,13.3,32.7,6.3,12.9,21,10.9,3.4
RI,Providence,4459000,178042,16.5,34,5.9,12.4,19.2,13,3.7
RI,Warwick,4474300,82672,7.5,30.5,6.4,11.4,19.6,8,2.4
SC,Charleston,4513330,120083,12.3,31.5,6.3,8.8,15.9,10,2.9
SC,Columbia,4516000,129272,17.5,37.1,5.9,9.4,18.8,13.7,4.2
SC,Mount Pleasant,4548535,67843,9.1,26.3,6.6,7.8,13,7.3,2.1
SC,North Charleston,4550875,97471,20.9,38.2,5.9,10.1,21.7,14.1,4.4
SC,Rock Hill,4561405,66154,17.1,36.8,6.3,9.7,20.7,12,3.6
SD,Rapid City,4652980,67956,11.8,29.1,6.5,8.3,20,8.2,3
SD,Sioux Falls,4659020,153888,11.3,26.9,6.5,7.9,18.7,8,2.7
TN,Chattanooga,4714000,167674,16.6,39,5.9,10.7,24.1,12.4,4
TN,Clarksville,4715160,132929,14.9,37,6.1,10.3,22.1,11.7,3.4
TN,Knoxville,4740000,178874,15.4,37.4,6.4,10.8,24.5,11.5,3.7
TN,Memphis,4748000,646889,19.9,43,5.5,11.6,24.5,15.1,4.9
TN,Murfreesboro,4751560,108755,13.4,34,6.3,9.9,21.2,10.2,3
