StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_AdjPrev,BPHIGH_AdjPrev,CANCER_AdjPrev,CASTHMA_AdjPrev,CSMOKING_AdjPrev,DIABETES_AdjPrev,STROKE_AdjPrev
CA,Livermore,641992,80968,8.6,23.4,6.1,8.7,13.1,7.3,2.2
CA,Long Beach,643000,462257,15.3,28.5,5.5,8.6,13.9,10.6,3
CA,Los Angeles,644000,3792621,17.1,28.5,5.4,8.5,13.8,11.1,3.1
CA,Lynwood,644574,69772,27.6,32.4,4.7,9.4,16.2,15,4.1
CA,Manteca,645484,67096,13.8,29,5.8,9.3,15.7,9.8,3
CA,Menifee,646842,77519,12.6,28.4,5.9,8.7,15.3,9.2,2.8
CA,Merced,646898,78958,19.1,31.7,5.6,9.7,17.8,13.4,4
CA,Milpitas,647766,66790,9.3,23.4,4.7,6.7,9.6,9.3,1.9
CA,Mission Viejo,648256,93305,7.5,23.2,6.1,8,11,7.1,2
CA,Modesto,648354,201165,14.6,30.6,5.9,9.4,16.1,10.6,3.2
CA,Moreno Valley,649270,193365,17.9,32.2,5.3,9.1,15.9,12,3.4
CA,Mountain View,649670,74066,7.5,21.8,5.7,7.4,8.9,7.5,1.9
CA,Murrieta,650076,103466,9.9,27.1,5.9,8.3,13.6,8.3,2.4
CA,Napa,650258,76915,12.7,26.5,6.1,8.9,14.7,8.3,2.6
CA,Newport Beach,651182,85186,5.3,22.2,6.3,7.8,9.4,6.3,1.9
CA,Norwalk,652526,105549,19,27.6,4.9,7.9,12.9,11.3,2.8
CA,Oakland,653000,390724,13.3,29.6,5.3,9.7,15.1,11.4,3.2
CA,Oceanside,653322,167086,12.6,26.9,5.8,8.5,14.2,9.1,2.7
CA,Ontario,653896,163924,19.8,30.9,5.1,9.3,15,12,3.2
CA,Orange,653980,136416,12.4,25.6,5.7,8.2,13,9.1,2.5
CA,Oxnard,654652,197899,21.8,29.7,5.2,8.7,14.8,12.3,3.2
CA,Palmdale,655156,152750,18.9,30.2,5.4,9.2,15.7,11.9,3.5
CA,Pasadena,656000,137122,11.2,25.9,5.6,7.9,11,9,2.5
CA,Perris,656700,68386,22.4,33,5,9.2,16.6,13.6,3.8
CA,Pleasanton,657792,70285,6,21.8,6,7.9,10,6.5,1.8
CA,Pomona,658072,149058,21.4,29.6,5,8.5,14.4,12.5,3.3
CA,Rancho Cucamonga,659451,165269,10.5,27.6,5.6,8.6,12.3,8.8,2.4
CA,Redding,659920,89861,9.2,27.8,6.5,9.6,17.9,8.8,3.1
CA,Redlands,659962,68747,10.9,27.5,5.8,9,13.3,8.7,2.5
CA,Redondo Beach,660018,66748,6.2,22.5,6,7.4,9.3,6.5,1.9
CA,Redwood City,660102,76815,12.1,25.7,5.8,8.2,11.9,8.2,2.2
CA,Rialto,660466,99171,20.7,33,5.1,9.9,15.9,13,3.6
CA,Richmond,660620,103701,15.9,30.8,5.3,9.4,15.2,12,3.4
CA,Riverside,662000,303871,16,29.8,5.6,8.7,15.2,10.4,3
CA,Roseville,662938,118788,7.8,25.3,6.3,8.5,12.6,7.4,2.3
CA,Sacramento,664000,466488,13.2,31.7,5.6,9.8,15.5,11,3.2
CA,Salinas,664224,150441,24.2,29.4,5.2,9.1,16.2,12.7,3.4
CA,San Bernardino,665000,209924,22.5,35,5.2,10.6,18.9,14.6,4.4
CA,San Buenaventura (Ventura),665042,106433,10.8,26.2,6.2,8.5,13.2,8.2,2.4
CA,San Diego,666000,1307402,11.1,26.1,5.6,8,12.4,9,2.5
CA,San Francisco,667000,805235,8.7,25.5,5.3,7.8,11.5,8.8,2.3
CA,San Jose,668000,945942,12,24.2,5.3,7.7,11.3,9.4,2.2
CA,San Leandro,668084,84950,12.2,26.5,5.3,8.7,14.1,9.8,2.5
CA,San Marcos,668196,83781,12.4,26.4,5.8,8.3,13.4,8.9,2.7
CA,San Mateo,668252,97207,10.1,25.1,5.8,8,11.4,8,2.1
CA,San Ramon,668378,72148,5.4,21.9,5.7,7.2,8.5,6.7,1.7
CA,Santa Ana,669000,324528,25.1,29.7,4.8,8.8,15.7,13.9,3.4
CA,Santa Barbara,669070,88410,11.7,26.3,6,8.4,12.2,8.4,2.4
CA,Santa Clara,669084,116468,8,22.6,5.5,7.4,9.5,8.1,2
CA,Santa Clarita,669088,176320,10.5,24.8,5.9,8,12.1,7.8,2.3
CA,Santa Maria,669196,99553,24.1,31,5.4,9.5,16.9,12.7,3.6
CA,Santa Monica,670000,89736,6.3,23.4,6.1,7.7,9.5,6.8,2.1
CA,Santa Rosa,670098,167815,11.8,26.5,6.2,9.2,14.6,8.1,2.6
CA,Simi Valley,672016,124237,9.2,25.4,6.1,8.3,12.8,7.8,2.3
CA,South Gate,673080,94396,27.5,29.6,4.7,8.6,14.5,13.6,3.4
CA,Stockton,675000,291707,17.6,32,5.3,9.4,16.3,12.6,3.6
CA,Sunnyvale,677000,140081,7.7,21.9,5.5,7,8.6,7.6,1.8
CA,Temecula,678120,100097,9.3,26.5,5.9,8.1,13,7.9,2.3
CA,Thousand Oaks,678582,126683,8,24.4,6.2,8.1,11.3,7.1,2.1
CA,Torrance,680000,145438,8,23.7,5.5,7,9.9,7.7,2
CA,Tracy,680238,82922,12.4,28.2,5.5,8.7,13.5,9.5,2.6
CA,Turlock,680812,68549,14,29.2,6,9.3,15.5,10.1,3
CA,Tustin,680854,75540,12.5,25.4,5.5,8,11.9,9.4,2.4
CA,Union City,681204,69516,10.5,25,4.8,7.5,11.7,9.6,2.1
CA,Upland,681344,73732,12.4,28.6,5.7,9,13.5,9.3,2.6
CA,Vacaville,681554,92428,10.6,27.6,5.9,9.1,15.2,9,2.7
CA,Vallejo,681666,115942,12.3,30.3,5.3,9.2,14.9,11.4,3.1
CA,Victorville,682590,115903,17.5,33.6,5.4,10.1,17.7,12.8,3.9
CA,Visalia,682954,124442,15.1,28.7,5.8,9.2,16,10.8,3.1
CA,Vista,682996,93834,15.8,28.1,5.7,8.7,15.3,9.9,3
CA,West Covina,684200,106098,14.4,26,5,7.3,11,9.9,2.3
CA,Westminster,684550,89701,14.2,27.8,4.9,7.8,14.5,11.8,2.8
CA,Whittier,685292,85331,15.5,25.5,5.4,7.7,11.4,9.3,2.4
CO,Arvada,803455,106433,10.2,22.6,6.4,9,16.3,5.9,2.3
CO,Aurora,804000,325078,15.8,28.5,5.7,9.1,17.9,8,3
CO,Boulder,807850,97385,8.5,22.6,6.3,8.1,12.4,5.7,2.3
CO,Centennial,812815,100377,7.6,23.2,6.1,7.9,12.6,5.1,1.9
CO,Colorado Springs,816000,416427,11.5,24.9,6.3,9.5,16.1,7.2,2.7
CO,Denver,820000,600158,14.6,25.9,5.9,8.8,16.8,6.9,2.7
CO,Fort Collins,827425,143986,9.5,22.6,6.4,8.8,14.8,6,2.5
CO,Greeley,832155,92889,17.5,26.7,5.8,9.2,18.6,8.3,3
CO,Lakewood,843000,142980,12.1,23.3,6.3,9,16.5,6.5,2.5
CO,Longmont,845970,86270,12.8,23.7,6.1,8.4,14.8,6.4,2.5
CO,Loveland,846465,66859,10.3,22.6,6.4,8.9,16,5.8,2.5
CO,Pueblo,862000,106595,20.6,29,5.8,9.7,20,10,3.3
CO,Thornton,877290,118772,14.6,25.2,5.9,9.1,18.7,7.4,2.6
CO,Westminster,883835,106114,11.5,23.7,6.1,8.8,16.6,6.5,2.3
CT,Bridgeport,908000,144229,16.8,32.5,5.6,10.3,18.4,12.4,3.7
CT,Danbury,918430,80893,12,26.2,6.1,9.2,16.1,8.4,2.6
CT,Hartford,937000,124775,18.8,38.9,5.3,12.3,20.5,16,4.5
CT,New Britain,950370,73206,15,33.1,5.9,11.3,19.6,11.9,3.4
CT,New Haven,952000,129779,13.8,36.1,5.9,11.2,18.6,12.7,3.8
CT,Norwalk,955990,85603,10.3,25.7,6.1,8.9,13.7,8.1,2.4
CT,Stamford,973000,122643,10.1,25.6,6,8.6,12.9,8,2.3
CT,Waterbury,980000,110366,15.7,34.6,6.1,11.5,21.6,12,3.8
DC,Washington,1150000,601723,7.7,31.1,5.4,10,23.6,14.2,4.4
DE,Wilmington,1077580,70851,17.1,38.3,5.8,10.7,17.2,10.1,3.4
FL,Boca Raton,1207300,84392,15.2,24.2,6.6,6.9,13.6,7.8,2.3
FL,Boynton Beach,1207875,68217,22.3,29.9,6.4,8.2,18.7,11,3.4
FL,Cape Coral,1210275,154305,21,26.9,6.2,7.6,17.6,9,2.9
FL,Clearwater,1212875,107685,21.2,28.4,6.2,7.9,21.4,9.3,3.1
FL,Coral Springs,1214400,121096,19.6,28,6,7.4,15.1,9.3,2.7
FL,Davie,1216475,91992,20.7,27.1,6,7.2,15.1,9.1,2.6
FL,Deerfield Beach,1216725,75018,23.5,31.7,6.1,8.4,19.7,10.9,3.5
FL,Deltona,1217200,85182,24.7,30.7,6.1,8.3,21.1,11.3,3.3
FL,Fort Lauderdale,1224000,165521,22.1,31.4,6,8,18.1,10.7,3.4
FL,Gainesville,1225175,124354,19.9,30.9,6.3,8.4,17.6,11.5,3.7
FL,Hialeah,1230000,224669,43.7,29.9,4.7,7,16.4,14.2,3.6
FL,Hollywood,1232000,140768,25.3,29.8,5.9,7.7,17.3,10.7,3.2
FL,Jacksonville,1235000,821784,20.6,33.7,6.1,8.2,20.2,11.1,3.6
FL,Lakeland,1238250,97422,22.7,32.2,6.3,8.7,20.3,11.5,3.8
FL,Largo,1239425,77648,20.9,28.4,6.3,8.1,23.1,9.2,3.2
FL,Lauderhill,1239550,66887,27,39.3,5.6,9.9,22,15,4.9
FL,Melbourne,1243975,76068,19.5,28.6,6.4,8.3,21.5,10.7,3.3
FL,Miami,1245000,399457,36.3,31.1,4.9,7.4,16.9,13.9,3.9
FL,Miami Beach,1245025,87779,24,26.1,5.4,6.5,13.3,9.5,2.6
FL,Miami Gardens,1245060,107167,29.6,38.1,5.2,9.3,20.5,14.5,4.7
FL,Miramar,1245975,122041,23.1,31.3,5.3,7.6,14.1,11.5,3
FL,Orlando,1253000,238300,23.1,32.8,5.7,8.2,16.6,11.7,3.6
FL,Palm Bay,1254000,103190,21.7,30.3,6.2,8.6,22.4,11.5,3.5
FL,Palm Coast,1254200,75180,19.7,29.8,6.4,8,20.6,9.8,3.1
FL,Pembroke Pines,1255775,154750,22,27.9,5.6,7.1,13.4,10.1,2.7
FL,Plantation,1257425,84955,18.1,27.6,6.1,7.4,14.2,8.9,2.6
FL,Pompano Beach,1258050,99845,26.4,32.9,6,8.4,20.7,11.5,3.8
FL,Port St. Lucie,1258715,164603,22.1,28.9,6,8.2,20.7,10.3,3.2
FL,St. Petersburg,1263000,244769,19.1,29.7,6.2,8.1,20.8,9.6,3.2
FL,Sunrise,1269700,84439,23.3,31.1,5.8,8,16.9,11.2,3.3
FL,Tallahassee,1270600,181376,18.2,30.3,6.2,8.1,16.1,10.3,3.4
FL,Tampa,1271000,335709,23.1,32,6,8.3,19.3,12.5,3.7
FL,West Palm Beach,1276600,99919,24,30.3,6.2,8,17.6,11.6,3.5
GA,Albany,1301052,77434,24.2,44.4,5.8,10.9,24.4,16,5.3
GA,Athens,1303440,115452,20,38,6,9.3,20.8,12.7,4
GA,Atlanta,1304000,420003,17.4,37.6,5.7,9,16.8,12.8,4.1
GA,Augusta,1304204,195844,21.5,40.4,5.8,10.1,22.6,13.3,4.4
GA,Columbus,1319000,189885,20.3,38.3,6,9.5,21.4,13.1,4.1
GA,Johns Creek,1342425,76728,10.9,26.7,6,6.8,10.9,7.1,1.9
GA,Macon,1349000,91351,25.3,44.8,5.8,11.1,26.3,17.1,5.7
GA,Roswell,1367284,88346,15.3,28.2,6.3,7.5,12.9,7.5,2.2
GA,Sandy Springs,1368516,93853,13.9,29.2,6.3,7.7,12.6,7.7,2.3
GA,Savannah,1369000,136286,20.7,41,5.7,9.9,21.7,13.9,4.4
GA,Warner Robins,1380508,66588,19.7,38.7,6,9.4,21.9,12.7,3.9
HI,Honolulu,15003,953207,10.3,30,5.1,9.6,14.1,9.7,2.4
IA,Cedar Rapids,1912000,126326,7.4,28.9,6.5,8,13.9,8.2,2.6
IA,Davenport,1919000,99685,9.1,28.9,6.3,8.5,13.8,7.7,2.4
IA,Des Moines,1921000,203433,10.4,29.1,6.2,8.6,19,10.1,3.5
IA,Iowa City,1938595,67862,7.3,26.4,6.2,7.9,13.3,6.5,2
IA,Sioux City,1973335,82684,11.7,28.9,6.2,8.6,17.3,11.1,3.1
IA,Waterloo,1982425,68406,10,31.8,6.2,8.9,16.2,8.3,2.6
ID,Boise City,1608830,205671,14.6,28.4,6.3,9,16,9.9,2.7
ID,Meridian,1652120,75092,14,27.7,6.3,8.9,16.3,9.3,2.8
ID,Nampa,1656260,81557,22.6,30.2,6.2,10,17.3,12.1,3.7
IL,Arlington Heights,1702154,75101,7.9,25.1,6.4,8.4,18.7,13.8,3.7
IL,Aurora,1703012,197899,18.1,30.4,5.7,9.2,23.2,11,3.7
IL,Bloomington,1706613,76610,9.2,28.3,6.5,9.1,17.4,10.4,2.9
IL,Bolingbrook,1707133,73366,12.5,30,5.7,8.9,12.5,7.7,2.4
IL,Champaign,1712385,81055,10.1,30.1,6.2,9.2,19.8,10.6,3.2
IL,Chicago,1714000,2695598,16.3,34.1,5.6,9.9,11.9,6.7,1.9
IL,Cicero,1714351,83891,30.7,32.8,5.2,9.4,13.8,7.3,2.2
IL,Decatur,1718823,76122,13.3,34,6.3,10.7,20.5,10.7,3.5
IL,Elgin,1723074,108188,17.7,29.5,5.9,9.1,23.3,11.3,3.7
IL,Evanston,1724582,74486,8.4,27.6,6.2,8.8,13.3,7.2,2.1
IL,Joliet,1738570,147433,15.5,31.1,6,9.7,20.8,9.6,3.1
IL,Naperville,1751622,141853,6.8,25.1,6.1,8,20.4,13.1,3.8
IL,Palatine,1757225,68557,10.6,26.4,6.2,8.4,19.4,10,3.1
IL,Peoria,1759000,115007,12.3,32.4,6.2,10.1,11.7,7,1.9
IL,Rockford,1765000,152871,15.9,33.4,6.2,10.5,26,11.3,3.7
IL,Schaumburg,1768003,74227,8.6,26,6.2,8.2,12.4,7.1,1.9
IL,Springfield,1772000,116250,10.9,31.2,6.4,10,21.9,10.9,3.4
IL,Waukegan,1779293,89078,23,34.9,5.5,10,26.4,18.9,5.9
IN,Bloomington,1805860,80405,11.1,29.8,6.4,10.2,22.9,13.4,3.9
IN,Carmel,1810342,79191,6.4,26.8,6.2,8.7,23.8,12.5,3.8
IN,Evansville,1822000,117429,13.6,32.8,6.2,11.3,21.9,10.2,3.3
IN,Fishers,1823278,76794,6.7,27.2,6.2,8.9,25.8,12.3,3.9
IN,Fort Wayne,1825000,253691,13.7,31.8,6.1,10.9,25.4,13.2,4.1
IN,Gary,1827000,80294,19.6,45.3,5.2,13,16.8,8.3,2.7
IN,Hammond,1831000,80830,20.2,35,5.7,10.6,19.9,9.8,3
IN,Indianapolis,1836003,820445,14.7,31,6.1,10.9,21.9,10.2,3.2
IN,Lafayette,1840788,67140,13.7,30.7,6.3,10.7,15,7.9,2.7
IN,Muncie,1851876,70085,14.1,35.5,6.2,11.3,20.1,9.9,3.2
IN,South Bend,1871000,101168,16.8,35.9,6,11.5,20.2,10.7,3.4
KS,Kansas City,2036000,145786,25.4,35.7,5.7,10.6,24.8,13.2,4.1
KS,Lawrence,2038900,87643,12.7,27.2,6.2,9.1,16.5,8.3,2.7
KS,Olathe,2052575,125872,12.3,26.9,6.1,8.7,14.7,7.6,2.3
KS,Overland Park,2053775,173372,9.9,25.4,6.2,8.3,12.4,6.8,2
KS,Topeka,2071000,127473,17.7,33.6,6.2,10.2,20.5,10.6,3.3
KS,Wichita,2079000,382368,18.3,31.8,6.3,9.6,22.3,10.3,3.2
KY,Lexington,2146027,295803,7.7,34.9,6.3,11.2,20.2,10.5,3.1
KY,Louisville,2148006,597337,8.5,38.6,6.5,12.3,23.3,11,3.5
LA,Baton Rouge,2205000,229493,16.4,40.2,5.8,9.4,20.4,13.8,4.1
LA,Kenner,2239475,66702,18.1,34.8,5.7,8.6,19.7,11.4,3.2
LA,Lafayette,2240735,120623,14.7,37,6.2,9.1,22.1,11.2,3.6
